RideNumber,RideName,Theme,X-coord,Y-coord
1,Disneyland Railroad #1,"Main Street, USA",499,544
2,Horseless Carriage,"Main Street, USA",486,292
3,Fire Engine,"Main Street, USA",551,288
4,Horse-Drawn Streetcars,"Main Street, USA",507,296
5,Omnibus,"Main Street, USA",568,305
6,Disney Gallery,"Main Street, USA",604,491
7,The Disneyland Story,"Main Street, USA",590,491
8,Main Street Cinema,"Main Street, USA",548,446
9,Walt Disney's Enchanted Tiki Room,Adventureland,449,370
10,Jungle Cruise,Adventureland,398,395
11,Indiana Jones Adventure,Adventureland,299,478
12,Tarzan's Treehouse,Adventureland,324,399
13,Pirates of the Caribbean,New Orleans Square,289,374
14,Disneyland Railroad #2,New Orleans Square,148,397
15,Haunted Mansion,New Orleans Square,149,337
16,Splash Mountain,Critter Country,122,274
17,The Many Adventures of Winnie the Pooh,Critter Country,50,240
18,Davy Crockett's Explorer Canoes,Critter Country,153,251
19,Star Wars : Rise of the Resistance,Star Wars : Galaxy's Edge,108,145
20,Millennium Falcon: Smugglers Run,Star Wars : Galaxy's Edge,285,69
21,Savi's Workshop - Handbuilt Lightsabers,Star Wars : Galaxy's Edge,291,107
22,Droid Depot,Star Wars : Galaxy's Edge,314,119
23,Pirates Lair on Tom Sawyer Island,Frontierland,211,330
24,Fantasmic!,Frontierland,292,329
25,The Golden Horseshoe Stage,Frontierland,341,311
26,Frontierland Shootin' Exposition,Frontierland,421,293
27,Mark Twain Riverboat,Frontierland,306,280
28,Sailing Ship Columbia,Frontierland,306,259
29,Big Thunder Mountain Railroad,Frontierland,325,225
30,Royal Hall,Fantasyland,448,251
31,Royal Theatre,Fantasyland,445,282
32,Pinocchio's Daring Journey,Fantasyland,467,191
33,Snow White's Scary Adventures,Fantasyland,474,208
34,Bibbidi Bobbidi Boutique,Fantasyland,492,207
35,Sleeping Beauty Castle Walkthrough,Fantasyland,508,194
36,King Arthur Carrousel,Fantasyland,490,175
37,Casey Jr. Circus Train,Fantasyland,478,149
38,Dumbo the Flying Elephant,Fantasyland,544,164
39,Mr. Toad's Wild Ride,Fantasyland,566,184
40,Peter Pan's Flight,Fantasyland,553,196
41,Mad Tea Party,Fantasyland,604,187
42,Alice in Wonderland,Fantasyland,601,209
43,Pixie Hollow,Fantasyland,629,276
44,Matterhorn Bobsleds,Fantasyland,664,189
45,Storybook Land Canal Boats,Fantasyland,620,159
46,it's a small world,Fantasyland,664,119
47,Fantasyland Theatre,Fantasyland,537,99
48,Disneyland Railroad #3,Mickey's Toontown,569,90
49,Goofy's Playhouse,Mickey's Toontown,556,70
50,Donald's Boat,Mickey's Toontown,525,64
51,Gadget's Go Coaster,Mickey's Toontown,440,67
52,Chip 'n Dale Treehouse,Mickey's Toontown,432,41
53,Mickey's House and Meet Mickey,Mickey's Toontown,460,21
54,Minnie's House,Mickey's Toontown,494,13
55,Roger Rabbit's Car Toon Spin,Mickey's Toontown,610,59
56,Finding Nemo Submarine Voyage,Tomorrowland,747,254
57,Disneyland Monorail,Tomorrowland,802,255
58,Autopia,Tomorrowland,816,286
59,Disneyland Railroad #4,Tomorrowland,880,290
60,Star Wars Launch Bay,Tomorrowland,774,316
61,Space Mountain,Tomorrowland,778,431
62,Tomorrowland Theater,Tomorrowland,759,405
63,Star Tours - The Adventures Continue,Tomorrowland,678,351
64,Astro Orbitor,Tomorrowland,611,322
65,Buzz Lightyear Astro Blasters,Tomorrowland,659,309
